claim_id,proposed_claim,evidence_source,statistic,supported,qualification,recommended_section
C1,LR-PPO improves over Lead nominally.,results/lead_residual_expanded_final_5000/primary_comparisons.csv,"LR-PPO family - Lead = +3.01pp, 95% CI [2.10, 3.91] (excludes zero)",Supported,Effect size is modest (~3pp); single nominal condition.,Results A
C2,LR-PPO does NOT establish nominal superiority over PPO.,results/lead_residual_expanded_final_5000/primary_comparisons.csv,"LR-PPO family - PPO family = +2.01pp, 95% CI [-0.37, 5.04] (includes zero)",Supported,CI includes zero; do not claim nominal superiority over PPO.,Results A
C3,LR-PPO advantage over PPO emerges under the strongest tested reactive evasion.,results/expanded_robustness/hostile_evasion/primary_comparisons.csv (gain=1.00),"LR-PPO family - PPO family = +5.87pp, 95% CI [3.13, 8.47] (excludes zero)",Supported,Only at gain=1.00 among 5 tested gains; do not call gain=1.00 'adversarial' or 'optimal'.,Results B
C4,LR-PPO retains a significant advantage over Lead and PPO under restrictive maneuverability.,"results/expanded_robustness/maneuverability/primary_comparisons.csv ((4,45))","LR-PPO-Lead=+4.73pp [1.60,7.93]; LR-PPO-PPO=+14.40pp [7.83,20.07], both exclude zero",Supported,"Advantage over Lead shrinks toward zero at more permissive cells (e.g. (24,45)); not universal across the grid.",Results B
C5,LR-PPO advantage over Lead increases with measurement noise.,results/expanded_robustness/measurement_noise/primary_comparisons.csv,"LR-PPO-Lead grows from +1.00pp (var=0.05) to +8.10pp (var=4.00), significant at var>=0.50",Supported,Monotonic trend observed in this specific tested range; not extrapolated beyond var=4.00.,Results C
C6,LR-PPO does not universally outperform PPO at high measurement noise.,results/expanded_robustness/measurement_noise/primary_comparisons.csv (var=4.00),"LR-PPO family - PPO family = -2.20pp, 95% CI [-7.33, 2.97] (includes zero, point estimate negative)",Supported,Point estimate favors PPO at var=4.00 though CI includes zero; do not claim LR-PPO universally wins.,Results C
C7,PPO-Kalman does not improve PPO in the tested frozen configuration.,results/expanded_robustness/measurement_noise/estimator_comparisons.csv,PPO-Kalman family - PPO family is negative at every one of 6 tested variances (significant at 2 lowest),Supported,Specific to this frozen process_var=1.0 configuration and this maneuvering hostile; not a general claim about Kalman filtering.,Results D
C8,The tested Kalman filter produces higher tracking error than raw measurement processing against the maneuvering hostile.,results/expanded_robustness/measurement_noise/tracking_error_summary.csv,Kalman pooled RMSE is 1.9x-2.3x the Direct-track RMSE at every one of 6 tested variances; Direct-track RMSE matches theoretical raw-noise benchmark to within ~0.1%,Supported,Descriptive/correlational; do not infer that lower tracking error CAUSES higher interception success from this alone.,Results D
C9,LR-PPO strongly outperforms Lead and PPO at the hardest observed mobility condition.,"results/expanded_robustness/mobility/primary_comparisons.csv ((18,8))","LR-PPO-Lead=+8.37pp [4.77,11.90]; LR-PPO-PPO=+17.70pp [13.73,21.63], both exclude zero",Supported,"(18,8) is the hardest of 9 TESTED conditions only; not a claim about untested speed combinations.",Results B/E
C10,The slow-hostile inversion is specific to this fixed-dynamics model and is consistent with greater effective maneuverability at lower hostile speed.,"results/expanded_robustness/mobility/posthoc_audit/ (post-hoc, exploratory)","Horizon confound ruled out (timeout negligible, v_e=8 detected earliest with largest remaining budget); accel-limited effective turn rate is ~2x higher at v_e=8 than v_e=16 (source-derived, not directly logged)",Qualified support,Mechanism is source-grounded but NOT empirically confirmed via saturation diagnostics (never logged); do not claim 'slower targets are inherently harder to intercept' as a general statement.,Results E / Discussion
C11,LR-PPO outperforms PPO at the shortest detection radius and avoids much of PPO's elevated unsafe-intercept failure rate.,"results/expanded_robustness/detection_radius/ (primary_comparisons.csv, failure_mode_summary.csv)","LR-PPO-PPO=+7.37pp [3.20,12.03] at Rdet=5m (only significant radius); PPO/PPO-Kalman unsafe-intercept rate ~0.11-0.12 vs Lead/LR-PPO ~0.06 at Rdet=5m",Supported,Only the shortest tested radius; do not generalize to untested ranges or real sensors.,Results C/E
C12,All campaign evaluations satisfy the configured physical limits.,physical_validity.json in every expanded-robustness directory + lead_residual_expanded_final_5000,0 violations across 60000+108000+72000+108000+72000+5000*12=~473000 total mission evaluations,Supported,None.,Methods / Validation
C13,Acquisition fairness holds for matched methods/seeds.,acquisition_fairness.csv in every expanded-robustness directory,"0 mismatches across 6000-9000 condition-seed combinations checked per sweep (within-condition only, as appropriate per sweep)",Supported,Fairness required only within a fixed condition per sweep protocol (never across conditions where the swept parameter legitimately changes pre-detection dynamics).,Methods / Validation
